Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;2628;3832;14,36
DI x pré;2659;3879;14,36
DI x pré;2714;3961;14,36
DI x pré;2718;3965;14,36
DI x pré;2783;4059;14,36
DI x pré;2845;4150;14,36
DI x pré;2877;4199;14,36
DI x pré;2907;4241;14,36
DI x pré;2960;4320;14,35
DI x pré;2968;4332;14,35
DI x pré;3032;4423;14,35
DI x pré;3094;4515;14,34
DI x pré;3128;4563;14,33
DI x pré;3159;4606;14,33
DI x pré;3209;4682;14,33
DI x pré;3219;4696;14,33
DI x pré;3283;4787;14,32
DI x pré;3346;4880;14,32
DI x pré;3379;4927;14,31
DI x pré;3409;4971;14,31
DI x pré;3457;5040;14,31
DI x pré;3471;5061;14,31
DI x pré;3536;5153;14,31
DI x pré;3599;5246;14,31
DI x pré;3629;5293;14,31
DI x pré;3661;5337;14,30
DI x pré;3704;5403;14,30
DI x pré;3720;5426;14,30
DI x pré;3785;5518;14,30
DI x pré;3829;5580;14,30
DI x pré;3851;5613;14,30
DI x pré;3913;5706;14,30
DI x pré;3971;5791;14,30
DI x pré;4036;5883;14,29
DI x pré;4102;5977;14,29
DI x pré;4162;6068;14,29
DI x pré;4223;6156;14,29
DI x pré;4288;6250;14,29
DI x pré;4350;6341;14,29
DI x pré;4412;6432;14,28
DI x pré;4473;6523;14,28
DI x pré;4537;6614;14,28
DI x pré;4600;6707;14,28
DI x pré;4665;6798;14,28
DI x pré;4723;6887;14,28
DI x pré;4788;6979;14,28
DI x pré;4911;7163;14,27
DI x pré;4937;7202;14,27
DI x pré;5037;7344;14,27
DI x pré;5162;7528;14,27
DI x pré;5286;7709;14,27
DI x pré;5414;7897;14,27
DI x pré;5538;8077;14,26
DI x pré;5662;8259;14,26
DI x pré;5787;8441;14,26
DI x pré;5914;8624;14,26
DI x pré;6038;8805;14,26
DI x pré;6172;9001;14,26
DI x pré;7227;10541;14,24
DI x pré;7407;10800;14,24
DI x pré;8544;12459;14,24
